n_i,x_i,n_j,x_j,y_i,dZ
21.0,0.7960274212698456,12.0,0.7922593174434863,0.0037681038263592814,0.006152708771625215
18.0,0.7974890723709579,17.0,0.7922593174434863,0.005229754927471575,0.008210792448783644
37.0,0.7974890723709579,18.0,0.792721451907596,0.004767620463361877,0.007837552850344154
58.0,0.7974890723709579,15.0,0.7957392302219447,0.0017498421490131921,0.00310400028595359
39.0,0.7986164458789536,29.0,0.7957392302219447,0.0028772156570089358,0.001187457234624878
42.0,0.7986164458789536,61.0,0.7970999243721099,0.001516521506843782,-0.0005608168314303885
24.0,0.7986164458789536,46.0,0.7991583714279755,-0.0005419255490218822,-0.0005608168314303885
0.0,0.7986164458789536,20.0,0.7991583714279755,-0.0005419255490218822,-0.0005608168314303885
14.0,0.7986164458789536,33.0,0.8007938980557682,-0.0021774521768145316,-0.0047061859157663255
33.0,0.800003904170108,39.0,0.8015738599580449,-0.0015699557879368387,-0.0013577208735880975
31.0,0.8004152624892736,59.0,0.8017388680678669,-0.0013236055785932344,-0.0018187252343797589
50.0,0.8008687070937528,55.0,0.8036288080920642,-0.0027601009983113656,-0.0018591768112093954
53.0,0.8019530125294093,43.0,0.8041915809485648,-0.0022385684191554844,-0.002216219821687515
30.0,0.8057028645171819,30.0,0.8056195797326947,8.32847844871587e-05,-0.003210355220694794
15.0,0.9247998689065982,44.0,0.923838194414991,0.0009616744916071118,0.0012243943759493447
25.0,0.9279431239392562,32.0,0.923838194414991,0.004104929524265111,0.0025235818218175554
36.0,0.9279431239392562,19.0,0.928756440557199,-0.0008133166179428164,-0.001057417114477599
19.0,0.9279431239392562,48.0,0.9291189700630432,-0.001175846123787072,-0.0013506798846656398
31.0,0.9279431239392562,27.0,0.9306960948028524,-0.0027529708635962713,-0.003197443164290048
39.0,0.9291358437077104,15.0,0.9341923068993436,-0.00505646319163322,-0.0034932536005459758
56.0,0.9413674405072596,16.0,0.9341923068993436,0.0071751336079159955,0.006646295981922012
58.0,0.9433125707980022,31.0,0.9390068643061834,0.004305706491818828,0.0019368154512046099
35.0,0.9437801539960652,29.0,0.940282266421718,0.0034978875743472138,0.00247151848088345
35.0,0.9461243522413052,33.0,0.9441171477998568,0.002007204441448418,0.0005307287195122079
5.0,0.9461243522413052,5.0,0.9442102823507652,0.0019140698905399933,0.000496362122340388
6.0,0.8991185329805318,1.0,0.8965568855254493,0.002561647455082472,0.0010629012868133003
7.0,0.9024147958724318,0.0,0.8965568855254493,0.0058579103469824645,0.006620933671883322
14.0,0.9067690464927374,1.0,0.8965568855254493,0.010212160967288053,0.010711943229989362
14.0,0.9200227114956626,4.0,0.8978206447198894,0.022202066775773188,0.022627899642581606
18.0,0.923746121779792,9.0,0.8982049892133587,0.02554113256643331,0.025473601549710678
20.0,0.9254410699371874,16.0,0.919762942868214,0.005678127068973415,0.0046596328601899994
12.0,0.9257573428322858,12.0,0.925523338107894,0.00023400472439183417,0.0007353825129248204
21.0,0.9295813719815204,17.0,0.93704415635478,-0.0074627843732596455,-0.0019274620487307326
35.0,0.9365523166704892,2.0,0.93704415635478,-0.0004918396842907846,0.0011819906875876196
75.0,0.9385255003039868,0.0,0.93704415635478,0.001481343949206848,0.007205558744737939
31.0,0.9415974050086828,0.0,0.93704415635478,0.0045532486539028305,0.007422821788493406
26.0,0.9498600204599484,10.0,0.9381031953196958,0.011756825140252669,0.0013374633244036538
23.0,0.9498600204599484,17.0,0.9421442171521354,0.007715803307813074,-0.002423778543181543
30.0,0.9498600204599484,15.0,0.9495476603939814,0.00031236006596702115,-0.005399684270952831
25.0,0.8263911924972841,0.0,0.8259955088026126,0.000395683694671467,0.000986671238676351
10.0,0.8263911924972841,0.0,0.8259955088026126,0.000395683694671467,0.001055081316698403
30.0,0.8271580328095202,10.0,0.8273091360965128,-0.00015110328699263764,0.0008876490290329331
35.0,0.8274289429098242,1.0,0.8273091360965128,0.00011980681331136278,0.0011316677119270757
22.0,0.8276879250648894,0.0,0.8273091360965128,0.0003787889683766199,0.0013946367620154554
34.0,0.8284512943834144,3.0,0.8273091360965128,0.0011421582869015623,0.0015887565490432243
33.0,0.8295232177837609,48.0,0.8273091360965128,0.002214081687248126,0.0004984002638249718
35.0,0.8295232177837609,40.0,0.8293702735277282,0.00015294425603273876,8.774356407958983e-05
5.0,0.8295232177837609,5.0,0.8293702735277282,0.00015294425603273876,8.774356407958983e-05
21.0,0.9853751950917048,1.0,0.9826213803540343,0.002753814737670446,0.0036853823339083602
49.0,0.9867016429921676,13.0,0.9860854860429856,0.0006161569491819341,0.0005077254421196331
40.0,0.9883067897841769,34.0,0.9869454555989524,0.0013613341852244387,0.0012106958974148485
31.0,0.9885433142554568,35.0,0.9879144595029518,0.0006288547525050703,0.0006762738595450513
26.0,0.9886058948840885,34.0,0.9884492459034452,0.00015664898064327026,8.265856906519709e-05
3.0,0.9886058948840885,12.0,0.9884492459034452,0.00015664898064327026,8.176819422522907e-05
10.0,0.9776138211579436,15.0,0.9813006591747676,-0.0036868380168240122,-0.0040053510084183674
3.0,0.9776138211579436,17.0,0.982002556441926,-0.004388735283982426,-0.004874439469409353
13.0,0.9808374777863568,12.0,0.9828684607986486,-0.002030983012291876,-0.00322438461572927
20.0,0.9830994269719012,24.0,0.9837455349439654,-0.0006461079720642138,-0.0006450767252199618
20.0,0.9835439810509417,16.0,0.9837579609197582,-0.0002139798688165495,-0.0003073974771493626
18.0,0.9840526037206008,19.0,0.9837579609197582,0.00029464280084257055,0.00021615302251631885
22.0,0.984331954787044,20.0,0.9841256116798868,0.00020634310715728077,0.00010616301955423957
6.0,0.7929060260050087,2.0,0.8102102778597018,-0.017304251854693087,-0.016012102472754752
3.0,0.7929060260050087,9.0,0.813243332128322,-0.020337306123313303,-0.019322061373190813
16.0,0.8105278669313354,1.0,0.8137153444992575,-0.003187477567922148,-0.003621896511159628
32.0,0.8181876289142752,6.0,0.8167897415802036,0.0013978873340716458,0.0008886645161205742
23.0,0.8200157564098728,2.0,0.8187401573502474,0.0012755990596253763,0.0008818702524877597
16.0,0.8204184596952908,20.0,0.8190087142146495,0.0014097454806413223,0.0008777389852333561
35.0,0.5317602694777953,29.0,0.4938631993551379,0.03789707012265742,0.046797305369012054
35.0,0.5496100123928124,27.0,0.5177388271832479,0.031871185209564445,0.025153222597753766
35.0,0.5528219034363814,34.0,0.5751391488580487,-0.022317245421667353,-0.004616473789082032
25.0,0.5936912448929244,25.0,0.5751391488580487,0.01855209603487562,0.027800609532192988
1.0,0.402144621821848,26.0,0.933097844424645,-0.5309532226027971,-0.5383514922521415
