n_i,x_i,public_i,n_j,x_j,public_j,y_i,Z
6,0.2046181723041916,0.2016785861352044,10.0,0.186075826323938,0.1721378621752269,0.018542345980253616,0.029540723959977505
16,0.2253424882839718,0.2240760250116876,17.0,0.2062822315867879,0.1684403177121379,0.01906025669718389,0.0851764312595272
40,0.2790669329688718,0.3173967590145195,35.0,0.286489026907737,0.2841011574378659,-0.007422093938865171,0.11847203283618082
29,0.2849609657302536,0.318368342800184,51.0,0.2894213338807426,0.2823989257874625,-0.0044603681504890025,0.15444144984890232
12,0.2834073413573261,0.318368342800184,28.0,0.2895771479750075,0.3001834116193679,-0.006169806617681406,0.17262638102971842
22,0.2835590850226549,0.296698415481979,32.0,0.2965272555745374,0.3010662099330254,-0.012968170551882485,0.16825858657867201
8,0.2878753575657946,0.3084013974212556,32.0,0.3010858044491612,0.3093353887365245,-0.013210446883366644,0.16732459526340313
33,0.2771498967920714,0.3247349610403668,31.0,0.3046160566533526,0.3358526567695931,-0.027466159861281203,0.15620689953417685
50,0.3057933662324713,0.3275068174292662,35.0,0.3101509768505738,0.3417580346619315,-0.004357610618102525,0.14195568230151154
62,0.312425153954075,0.3206296582429803,30.0,0.3104121367339826,0.3427937756236197,0.0020130172200923946,0.11979156492087215
39,0.3210673227459351,0.3528480215613426,35.0,0.3093699974827193,0.3532839993492313,0.011697325263215763,0.11935558713298342
35,0.3150424610160692,0.3545710286307776,35.0,0.3191778813796363,0.355340686369633,-0.004135420363567122,0.11858592939412801
10,0.3157705106262481,0.3544206703224474,10.0,0.3112260617158789,0.3658295093330055,0.004544448910369203,0.1071770903835699
